ConstructName,SubjectName,QuestionText,AnswerText,MisconceptionText,CorrectAnswerText,MisconceptionID
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/6 - 1/3?,4/3,"When subtracting fractions, subtracts the numerators and denominators",3/6,172
"Solve one-step linear equations requiring multiplication or division, involving positive decimals",Linear Equations,Solve the equation: 1.5y = 30,y = 10,"When solving an equation, uses the same operation rather than the inverse.",y = 20,1214
Calculate the area of a rectangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 0.1m and height 12cm],12 sq cm,Does not convert measurements to have the same units before calculating area or volume,120 sq cm,877
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 11cm and height 5cm],16cm,"When calculating perimeter, only adds two sides",32cm,1446
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 20 as a percentage of 100?,2%,Does not understand a percentage is out of 100,20%,329
Convert two-digit integer percentages to fractions,Converting between Fractions and Percentages,What is 70% as a fraction?,7/100,Does not understand a percentage is out of 100,7/10,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 8.76 rounded to one decimal place?,8.7,Rounds incorrectly by changing multiple place values,8.8,2330
Convert between cm and mm,Length Units,How many mm are there in 3.3cm?,330mm,Divides when converting to a smaller unit,33mm,1954
Convert between m and km,Length Units,How many km are there in 900m?,9km,Multiplies when converting to a larger unit,0.9km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/6 - 1/2?,4/4,"When subtracting fractions, subtracts the numerators and denominators",1/3,172
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: y + 8 = 16,y = 24,"When solving an equation, uses the same operation rather than the inverse.",y = 8,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 7x = 42,x = 5,"When solving an equation, uses the same operation rather than the inverse.",x = 6,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 11cm and height 4cm],15 sq cm,Adds when calculating area instead of multiplying,44 sq cm,828
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 10cm and height 0.07m],24cm,Does not convert measurements to have the same units before calculating area or volume,34cm,877
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 50% as a decimal?,5,Does not understand a percentage is out of 100,0.5,329
Round decimals to two decimal places,Rounding to Decimal Places,What is 3.145 rounded to two decimal places?,3.145,Believes that rounding must change the number,3.15,322
Convert between cm and mm,Length Units,How many mm are there in 8.9cm?,890mm,Divides when converting to a smaller unit,89mm,1954
Convert between m and km,Length Units,How many km are there in 1750m?,17.5km,Multiplies when converting to a larger unit,1.75km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 7/8 - 1/4?,6/4,"When subtracting fractions, subtracts the numerators and denominators",5/8,172
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: x + 5 = 11,x = 16,"When solving an equation, uses the same operation rather than the inverse.",x = 6,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 9y = 54,y = 5,"When solving an equation, uses the same operation rather than the inverse.",y = 6,1214
Calculate the area of a rectangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 0.07m and height 8cm],5.6 sq cm,Does not convert measurements to have the same units before calculating area or volume,56 sq cm,877
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 6cm and height 10cm],16cm,"When calculating perimeter, only adds two sides",32cm,1446
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 20 as a percentage of 80?,4%,Does not understand a percentage is out of 100,25%,329
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 15% as a decimal?,1.5,Does not understand a percentage is out of 100,0.15,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 9.87 rounded to one decimal place?,9.8,Rounds incorrectly by changing multiple place values,9.9,2330
Convert between cm and mm,Length Units,How many mm are there in 3.7cm?,3700mm,Divides when converting to a smaller unit,37mm,1954
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/6 - 1/3?,4/3,"When subtracting fractions, subtracts the numerators and denominators",3/6,172
"Solve one-step linear equations requiring addition or subtraction, involving negative integers",Linear Equations,Solve the equation: x + (-8) = 2,x = -10,"When solving an equation, uses the same operation rather than the inverse.",x = 10,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 11a = 121,a = 10,"When solving an equation, uses the same operation rather than the inverse.",a = 11,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 7cm and height 10cm],17 sq cm,Adds when calculating area instead of multiplying,70 sq cm,828
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 25 as a percentage of 100?,2.5%,Does not understand a percentage is out of 100,25%,329
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 5% as a decimal?,0.5,Does not understand a percentage is out of 100,0.05,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 1.66 rounded to one decimal place?,1.66,Believes that rounding must change the number,1.7,322
Convert between cm and mm,Length Units,How many mm are there in 4.9cm?,4900mm,Divides when converting to a smaller unit,49mm,1954
Convert between m and km,Length Units,How many km are there in 6000m?,60km,Multiplies when converting to a larger unit,6km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 7/8 - 1/2?,6/6,"When subtracting fractions, subtracts the numerators and denominators",3/8,172
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: y + 7 = 14,y = 21,"When solving an equation, uses the same operation rather than the inverse.",y = 7,1214
"Solve one-step linear equations requiring multiplication or division, involving positive decimals",Linear Equations,Solve the equation: 0.9x = 18,x = 2,"When solving an equation, uses the same operation rather than the inverse.",x = 20,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 6cm and height 10cm],16 sq cm,Adds when calculating area instead of multiplying,60 sq cm,828
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 0.06m and height 8cm],22cm,Does not convert measurements to have the same units before calculating area or volume,28cm,877
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 5 as a percentage of 25?,5%,Does not understand a percentage is out of 100,20%,329
Convert two-digit integer percentages to fractions,Converting between Fractions and Percentages,What is 60% as a fraction?,6/10,Does not fully simplify fraction,3/5,1825
Round decimals to two decimal places,Rounding to Decimal Places,What is 1.236 rounded to two decimal places?,1.236,Believes that rounding must change the number,1.24,322
Convert between cm and mm,Length Units,How many mm are there in 1.5cm?,150mm,Divides when converting to a smaller unit,15mm,1954
Convert between m and km,Length Units,How many km are there in 700m?,7km,Multiplies when converting to a larger unit,0.7km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 7/12 - 1/6?,6/6,"When subtracting fractions, subtracts the numerators and denominators",5/12,172
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: x - 4 = 9,x = 5,"When solving an equation, uses the same operation rather than the inverse.",x = 13,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 6a = 36,a = 5,"When solving an equation, uses the same operation rather than the inverse.",a = 6,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 5cm and height 9cm],14 sq cm,Adds when calculating area instead of multiplying,45 sq cm,828
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 25 as a percentage of 100?,2.5%,Does not understand a percentage is out of 100,25%,329
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 75% as a decimal?,7.5,Does not understand a percentage is out of 100,0.75,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 3.56 rounded to one decimal place?,3.56,Believes that rounding must change the number,3.6,322
Convert between cm and mm,Length Units,How many mm are there in 2.2cm?,2200mm,Divides when converting to a smaller unit,22mm,1954
Convert between m and km,Length Units,How many km are there in 850m?,8.5km,Multiplies when converting to a larger unit,0.85km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/6 - 1/2?,4/4,"When subtracting fractions, subtracts the numerators and denominators",1/3,172
"Solve one-step linear equations requiring addition or subtraction, involving negative integers",Linear Equations,Solve the equation: y - 6 = -10,y = 4,"When solving an equation, uses the same operation rather than the inverse.",y = -4,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 5x = 45,x = 8,"When solving an equation, uses the same operation rather than the inverse.",x = 9,1214
Calculate the area of a rectangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 0.09m and height 5cm],4.5 sq cm,Does not convert measurements to have the same units before calculating area or volume,45 sq cm,877
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 6cm and height 7cm],13cm,"When calculating perimeter, only adds two sides",26cm,1446
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 3% as a decimal?,3,Does not understand a percentage is out of 100,0.03,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 1.78 rounded to one decimal place?,1.78,Believes that rounding must change the number,1.8,322
Convert between cm and mm,Length Units,How many mm are there in 9.2cm?,920mm,Divides when converting to a smaller unit,92mm,1954
Convert between m and km,Length Units,How many km are there in 1200m?,12km,Multiplies when converting to a larger unit,1.2km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 7/8 - 1/4?,6/4,"When subtracting fractions, subtracts the numerators and denominators",5/8,172
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 4y = 24,y = 5,"When solving an equation, uses the same operation rather than the inverse.",y = 6,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 7cm and height 5cm],12 sq cm,Adds when calculating area instead of multiplying,35 sq cm,828
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 0.05m and height 9cm],23cm,Does not convert measurements to have the same units before calculating area or volume,31cm,877
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 70% as a decimal?,7,Does not understand a percentage is out of 100,0.7,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 3.14 rounded to one decimal place?,3.14,Believes that rounding must change the number,3.1,322
Convert between cm and mm,Length Units,How many mm are there in 9.7cm?,9700mm,Divides when converting to a smaller unit,97mm,1954
Convert between m and km,Length Units,How many km are there in 450m?,4.5km,Multiplies when converting to a larger unit,0.45km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/6 - 1/3?,4/3,"When subtracting fractions, subtracts the numerators and denominators",3/6,172
"Solve one-step linear equations requiring addition or subtraction, involving negative integers",Linear Equations,Solve the equation: x + (-3) = 7,x = 4,"When solving an equation, uses the same operation rather than the inverse.",x = 10,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 8b = 72,b = 8,"When solving an equation, uses the same operation rather than the inverse.",b = 9,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 5cm and height 8cm],13 sq cm,Adds when calculating area instead of multiplying,40 sq cm,828
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 0.05m and height 11cm],21cm,Does not convert measurements to have the same units before calculating area or volume,32cm,877
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 10 as a percentage of 50?,2%,Does not understand a percentage is out of 100,20%,329
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 6% as a decimal?,0.6,Does not understand a percentage is out of 100,0.06,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 2.76 rounded to one decimal place?,2.7,Rounds incorrectly by changing multiple place values,2.8,2330
Convert between cm and mm,Length Units,How many mm are there in 1.3cm?,1300mm,Divides when converting to a smaller unit,13mm,1954
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/6 - 1/2?,4/4,"When subtracting fractions, subtracts the numerators and denominators",1/3,172
"Solve one-step linear equations requiring multiplication or division, involving positive decimals",Linear Equations,Solve the equation: 0.5y = 15,y = 7.5,"When solving an equation, uses the same operation rather than the inverse.",y = 30,1214
Calculate the area of a rectangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 0.1m and height 11cm],11 sq cm,Does not convert measurements to have the same units before calculating area or volume,110 sq cm,877
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 5cm and height 12cm],17cm,"When calculating perimeter, only adds two sides",34cm,1446
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 10 as a percentage of 40?,4%,Does not understand a percentage is out of 100,25%,329
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 80% as a decimal?,8,Does not understand a percentage is out of 100,0.8,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 9.16 rounded to one decimal place?,9.1,Rounds incorrectly by changing multiple place values,9.2,2330
Convert between cm and mm,Length Units,How many mm are there in 2.8cm?,2800mm,Divides when converting to a smaller unit,28mm,1954
Convert between m and km,Length Units,How many km are there in 150m?,1.5km,Multiplies when converting to a larger unit,0.15km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/6 - 1/3?,4/3,"When subtracting fractions, subtracts the numerators and denominators",3/6,172
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 12y = 60,y = 4,"When solving an equation, uses the same operation rather than the inverse.",y = 5,1214
Calculate the area of a rectangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 0.07m and height 9cm],6.3 sq cm,Does not convert measurements to have the same units before calculating area or volume,63 sq cm,877
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 8cm and height 6cm],14cm,"When calculating perimeter, only adds two sides",28cm,1446
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 25 as a percentage of 100?,2.5%,Does not understand a percentage is out of 100,25%,329
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 45% as a decimal?,4.5,Does not understand a percentage is out of 100,0.45,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 1.75 rounded to one decimal place?,1.75,Believes that rounding must change the number,1.8,322
Convert between cm and mm,Length Units,How many mm are there in 3.1cm?,310mm,Divides when converting to a smaller unit,31mm,1954
Convert between m and km,Length Units,How many km are there in 2500m?,25km,Multiplies when converting to a larger unit,2.5km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/6 - 1/2?,4/4,"When subtracting fractions, subtracts the numerators and denominators",1/3,172
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: x + 3 = 8,x = 11,"When solving an equation, uses the same operation rather than the inverse.",x = 5,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 7a = 49,a = 8,"When solving an equation, uses the same operation rather than the inverse.",a = 7,1214
Calculate the area of a rectangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 0.06m and height 11cm],6.6 sq cm,Does not convert measurements to have the same units before calculating area or volume,66 sq cm,877
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 5cm and height 10cm],15cm,"When calculating perimeter, only adds two sides",30cm,1446
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 25 as a percentage of 100?,2.5%,Does not understand a percentage is out of 100,25%,329
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 9% as a decimal?,0.9,Does not understand a percentage is out of 100,0.09,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 2.76 rounded to one decimal place?,2.76,Believes that rounding must change the number,2.8,322
Convert between cm and mm,Length Units,How many mm are there in 1.2cm?,1200mm,Divides when converting to a smaller unit,12mm,1954
Convert between m and km,Length Units,How many km are there in 3500m?,35km,Multiplies when converting to a larger unit,3.5km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 2/3 - 1/6?,1/3,"When subtracting fractions, subtracts the numerators and denominators",1/2,172
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: x - 9 = 11,x = 2,"When solving an equation, uses the same operation rather than the inverse.",x = 20,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 5a = 45,a = 8,"When solving an equation, uses the same operation rather than the inverse.",a = 9,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 10cm and height 11cm],21 sq cm,Adds when calculating area instead of multiplying,110 sq cm,828
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 6% as a decimal?,0.6,Does not understand a percentage is out of 100,0.06,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 1.87 rounded to one decimal place?,1.87,Believes that rounding must change the number,1.9,322
Convert between cm and mm,Length Units,How many mm are there in 3.4cm?,340mm,Divides when converting to a smaller unit,34mm,1954
Convert between m and km,Length Units,How many km are there in 125m?,1.25km,Multiplies when converting to a larger unit,0.125km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/6 - 1/3?,4/3,"When subtracting fractions, subtracts the numerators and denominators",3/6,172
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: y + 9 = 17,y = 26,"When solving an equation, uses the same operation rather than the inverse.",y = 8,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 6x = 48,x = 7,"When solving an equation, uses the same operation rather than the inverse.",x = 8,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 9cm and height 4cm],13 sq cm,Adds when calculating area instead of multiplying,36 sq cm,828
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 0.08m and height 7cm],15cm,Does not convert measurements to have the same units before calculating area or volume,30cm,877
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 20 as a percentage of 100?,2%,Does not understand a percentage is out of 100,20%,329
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 55% as a decimal?,5.5,Does not understand a percentage is out of 100,0.55,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 7.65 rounded to one decimal place?,7.6,Rounds incorrectly by changing multiple place values,7.7,2330
Convert between cm and mm,Length Units,How many mm are there in 4.1cm?,4100mm,Divides when converting to a smaller unit,41mm,1954
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 7/10 - 2/5?,5/5,"When subtracting fractions, subtracts the numerators and denominators",3/10,172
"Solve one-step linear equations requiring addition or subtraction, involving negative integers",Linear Equations,Solve the equation: x - 4 = -11,x = 7,"When solving an equation, uses the same operation rather than the inverse.",x = -7,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 9y = 81,y = 8,"When solving an equation, uses the same operation rather than the inverse.",y = 9,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 6cm and height 8cm],14 sq cm,Adds when calculating area instead of multiplying,48 sq cm,828
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 0.05m and height 10cm],21cm,Does not convert measurements to have the same units before calculating area or volume,30cm,877
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 1% as a decimal?,1,Does not understand a percentage is out of 100,0.01,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 7.75 rounded to one decimal place?,7.7,Rounds incorrectly by changing multiple place values,7.8,2330
Convert between cm and mm,Length Units,How many mm are there in 5.9cm?,5900mm,Divides when converting to a smaller unit,59mm,1954
Convert between m and km,Length Units,How many km are there in 275m?,2.75km,Multiplies when converting to a larger unit,0.275km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/8 - 1/4?,4/4,"When subtracting fractions, subtracts the numerators and denominators",3/8,172
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: x + 10 = 16,x = 26,"When solving an equation, uses the same operation rather than the inverse.",x = 6,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 3a = 21,a = 6,"When solving an equation, uses the same operation rather than the inverse.",a = 7,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 12cm and height 5cm],17 sq cm,Adds when calculating area instead of multiplying,60 sq cm,828
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 0.1m and height 8cm],18cm,Does not convert measurements to have the same units before calculating area or volume,36cm,877
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 20 as a percentage of 80?,40%,Does not understand a percentage is out of 100,25%,329
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 25% as a decimal?,2.5,Does not understand a percentage is out of 100,0.25,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 1.76 rounded to one decimal place?,1.7,Rounds incorrectly by changing multiple place values,1.8,2330
Convert between cm and mm,Length Units,How many mm are there in 7.2cm?,7200mm,Divides when converting to a smaller unit,72mm,1954
Convert between m and km,Length Units,How many km are there in 350m?,3.5km,Multiplies when converting to a larger unit,0.35km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/6 - 1/2?,4/4,"When subtracting fractions, subtracts the numerators and denominators",1/3,172
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: x - 6 = 11,x = 5,"When solving an equation, uses the same operation rather than the inverse.",x = 17,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 8a = 72,a = 8,"When solving an equation, uses the same operation rather than the inverse.",a = 9,1214
Calculate the area of a rectangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 0.05m and height 10cm],5 sq cm,Does not convert measurements to have the same units before calculating area or volume,50 sq cm,877
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 7cm and height 9cm],16cm,"When calculating perimeter, only adds two sides",32cm,1446
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 15 as a percentage of 60?,40%,Does not understand a percentage is out of 100,25%,329
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 2% as a decimal?,0.2,Does not understand a percentage is out of 100,0.02,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 1.96 rounded to one decimal place?,1.96,Believes that rounding must change the number,2.0,322
Convert between cm and mm,Length Units,How many mm are there in 6.7cm?,670mm,Divides when converting to a smaller unit,67mm,1954
Convert between m and km,Length Units,How many km are there in 1350m?,13.5km,Multiplies when converting to a larger unit,1.35km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 7/10 - 3/5?,4/5,"When subtracting fractions, subtracts the numerators and denominators",1/10,172
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 3y = 33,y = 10,"When solving an equation, uses the same operation rather than the inverse.",y = 11,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 9cm and height 5cm],14 sq cm,Adds when calculating area instead of multiplying,45 sq cm,828
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 8cm and height 0.06m],28cm,Does not convert measurements to have the same units before calculating area or volume,34cm,877
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 8% as a decimal?,8,Does not understand a percentage is out of 100,0.08,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 4.55 rounded to one decimal place?,4.5,Rounds incorrectly by changing multiple place values,4.6,2330
Convert between cm and mm,Length Units,How many mm are there in 2.7cm?,270mm,Divides when converting to a smaller unit,27mm,1954
Convert between m and km,Length Units,How many km are there in 1200m?,12km,Multiplies when converting to a larger unit,1.2km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 7/12 - 1/6?,6/6,"When subtracting fractions, subtracts the numerators and denominators",5/12,172
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: x - 3 = 5,x = 2,"When solving an equation, uses the same operation rather than the inverse.",x = 8,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 5a = 60,a = 11,"When solving an equation, uses the same operation rather than the inverse.",a = 12,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 7cm and height 8cm],15 sq cm,Adds when calculating area instead of multiplying,56 sq cm,828
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 0.07m and height 6cm],20cm,Does not convert measurements to have the same units before calculating area or volume,26cm,877
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 20 as a percentage of 80?,4%,Does not understand a percentage is out of 100,25%,329
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 9% as a decimal?,9,Does not understand a percentage is out of 100,0.09,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 1.26 rounded to one decimal place?,1.26,Believes that rounding must change the number,1.3,322
Convert between cm and mm,Length Units,How many mm are there in 1.1cm?,110mm,Divides when converting to a smaller unit,11mm,1954
Convert between m and km,Length Units,How many km are there in 1300m?,13km,Multiplies when converting to a larger unit,1.3km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/6 - 1/2?,4/4,"When subtracting fractions, subtracts the numerators and denominators",1/3,172
Calculate the area of a rectangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 0.08m and height 11cm],8.8 sq cm,Does not convert measurements to have the same units before calculating area or volume,88 sq cm,877
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 9cm and height 7cm],16cm,"When calculating perimeter, only adds two sides",32cm,1446
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 35% as a decimal?,3.5,Does not understand a percentage is out of 100,0.35,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 1.26 rounded to one decimal place?,1.2,Rounds incorrectly by changing multiple place values,1.3,2330
Convert between cm and mm,Length Units,How many mm are there in 1.6cm?,1600mm,Divides when converting to a smaller unit,16mm,1954
Convert between m and km,Length Units,How many km are there in 450m?,4.5km,Multiplies when converting to a larger unit,0.45km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/6 - 1/2?,4/4,"When subtracting fractions, subtracts the numerators and denominators",1/3,172
